"","pval","pseudo","padj"
"X539265e101086f2e7d8aa51c05152c1b",0;932,0;9321,0;9931
"X542b8274cc0abe38ef023b02b57dbf9b",0;676,0;6761,0;9931
"c10027370c67bc9ee9b945c53d20ab5c",0;405,0;4051,0;9931
"X30526a7a4d826edd9b043b56bd8e847a",0;46,0;4601,0;9931
"X034aaec3b477baaaad7676a87004e735",0;294,0;2941,0;9931
"X5bf5a35fbf5c2c129b31a4aaa02679bd",0;507,0;5071,0;9931
"fd6ff46f1b85f9ed17f80fe98868119c",0;895,0;8951,0;9931
"X4446d2a211e0a41b6b526dd4940fe073",0;488,0;4881,0;9931
"X0c5de29041b1bcfe2010ba9bde32f320",0;858,0;8581,0;9931
"X99d56121b201885e2327e1aaefee27e0",0;732,0;7321,0;9931
"f5f092fdfbb1dcc0827bf409ad96e634",0;766,0;7661,0;9931
"X2b3c915c3bce80b053b118bfac9819c6",0;497,0;4971,0;9931
"db927f3e3abb74321d0262b8624b01c7",0;839,0;8391,0;9931
"X37e6c524ce699f13fe323a63bc20adf9",0;535,0;5351,0;9931
"X1b0539acdc7399feee3aaebdd5e61067",0;753,0;7531,0;9931
"X7ef0412f12032fcc6224d8d98783f44f",0;892,0;8921,0;9931
"e71fb4db708f786a39f0bf2bd9b6e50b",0;658,0;6581,0;9931
"X92c359d5fc0b3cd4cf326768b8132a41",0;915,0;9151,0;9931
"X62da65200185b257193a5e6d38677242",0;587,0;5871,0;9931
"X0df685ffc0887a530be9364c346bad5e",0;73,0;7301,0;9931
"ccba5d69de041201ee8e163c1c4b23bb",0;467,0;4671,0;9931
"da230b788ed11070ab619cf95eec6577",0;745,0;7451,0;9931
"X68f6f56543e7b4195061892a90ea0315",0;681,0;6811,0;9931
"bd26e97e57ceb47cf6ab7d5b5e947f62",0;973,0;9731,0;9931
"e5c7942ab79294bf4c19761c8bbbf920",0;989,0;9891,0;9931
"X76dc3809d214159c017b2f987364f7e0",0;521,0;5211,0;9931
"f5a2b8967fd8d135803af8c0601cd4e0",0;534,0;5341,0;9931
"X92e7c471bf50233a39a459ff5b204b3e",0;482,0;4821,0;9931
"X526fa77d5328b0a41df33317dfe135e2",0;629,0;6291,0;9931
"X2c18fa52b1be278e8fbf731b531e3174",0;958,0;9581,0;9931
"X071be45c44bec0f49b498f73b15dd3d2",0;463,0;4631,0;9931
"b4b232f214f775bcc3308653d7741f1a",0;374,0;3741,0;9931
"X4be810915c915c3f6f34bb4fedab9ad0",0;016,0;0161,0;9931
"e87dc9cc994d0c5c48a42ee91aae6eae",0;422,0;4221,0;9931
"X3d0a205de99f5295bc4b374649c57575",0;92,0;9201,0;9931
"X9c7970c0800382fbe01230164e6149fb",0;755,0;7551,0;9931
"c1f96ac17ac6c32cbf88341fce4c8d9d",0;404,0;4041,0;9931
"a135d244d0364d5d06535e56882a84a5",0;938,0;9381,0;9931
"c8d5fdc244ae17e9558f5025b812d6eb",0;809,0;8091,0;9931
"X2e3c54c72de596f4c4009971b90895d7",0;735,0;7351,0;9931
"X5ae8bbf464d292ab3b75086ef4ff2fb1",0;573,0;5731,0;9931
"X2130ca17584e2024351e25847b07de48",0;875,0;8751,0;9931
"X97e3be015d0ad3c9c56ccbd57f9c0feb",0;59,0;5901,0;9931
"X1760e66b93ff7aa728b6898fa572bc2d",0;351,0;3511,0;9931
"X4a8dbbec00787fa2cc2ee08274f8ce4c",0;581,0;5811,0;9931
"b47360a961b32fd49a797faf00c4d3de",0;706,0;7061,0;9931
"ee121b5310faf3d1c9e119e3ac6048ba",0;939,0;9391,0;9931
"c0c4bc43d1ba371268726299b45b754a",0;395,0;3951,0;9931
"X9b05f9d3b68356c051503c00d6b3d333",0;959,0;9591,0;9931
"d6992915e0c28999e8d466f1592d8b7a",0;72,0;7201,0;9931
"X2ffde79d725e60b058bde836132af683",0;051,0;0511,0;9931
"X9e58e4736ae679b38ae8de9b3fc3d7ee",0;597,0;5971,0;9931
"f9fd90420aaf24633adee0901df06f08",0;505,0;5051,0;9931
"e0db0916d5f4bc79913c096d6f7f23e0",0;993,0;9931,0;9931
"b6d488bfbf30ff5ee3e75bbefccb6032",0;633,0;6331,0;9931
"X8512a0ed11476e591ffa9a713b8d9df3",0;51,0;5101,0;9931
"X983cf9a4e7016105283f24743d919f25",0;415,0;4151,0;9931
"fb4b6d91dda35da5c766e6747c71efdb",0;496,0;4961,0;9931
"X175a157b503cdbac0149f491726d55a0",0;435,0;4351,0;9931
"X5e317160f53054af730b0a3123e7e9b6",0;737,0;7371,0;9931
"X0ef57e8afd9085d240cb5ca96d3578ad",0;589,0;5891,0;9931
"adba26ac34bc5a82de3fd3fb5efbd33e",0;837,0;8371,0;9931
"X60ae902a3e046edce4cc5f9cc1ac73ea",0;451,0;4511,0;9931
"af7a6845c73f4a26d0abf34aef9a2a64",0;673,0;6731,0;9931
"X325f464ad49685c1e5420d17aa147d15",0;588,0;5881,0;9931
"X760b5cda1cd383fa43af2dd6f6b06672",0;194,0;1941,0;9931
"X7d2ea1f51c60d58d0660446d4774a59a",0;541,0;5411,0;9931
"d75885b537a312c667e41d5afe3bee27",0;573,0;5731,0;9931
"faef5307d71a48c6d6d40336c90c8d60",0;728,0;7281,0;9931
"f9714344beb252703d97bed4752ae788",0;574,0;5741,0;9931
"X399dce84cd757a93a8527510b06e307a",0;512,0;5121,0;9931
"de3ca8116321fa3b3ecaa5fc40c08cc5",0;342,0;3421,0;9931
"X08d77d3861ee0c24205b9a999144495f",0;982,0;9821,0;9931
"c1c7dac2c6665e89f90cda95c53e086e",0;439,0;4391,0;9931
"X2bf8231073721bfc54aa8ebeb6912a20",0;939,0;9391,0;9931
"X18ff3ee57c402652b7156ed14071d0ab",0;484,0;4841,0;9931
"X8dcb1c66dadcbfce80141ab20ccf1ea1",0;597,0;5971,0;9931
"a294a6334e4208490c478e9073d7270c",0;151,0;1511,0;9931
"X22aea799615e8e1467f7b56605053545",0;732,0;7321,0;9931
"X96e8d503a1148ba899683ec5ab9b05d9",0;703,0;7031,0;9931
"X7f088cac1fcdba8c0195c47096264049",0;798,0;7981,0;9931
"a4977746f215ec32e61883e81da46126",0;704,0;7041,0;9931
"b0155a887805143545218ffe760eda06",0;576,0;5761,0;9931
"a4bbfb428c8d35739d668a60656037fc",0;758,0;7581,0;9931
"ea4f3d7471d698fb962e28a5f213caf2",0;778,0;7781,0;9931
"X53c621cb35a1c35186d82a7c60de1bf0",0;691,0;6911,0;9931
"efef4e897400bf9054e9c2a7eda09a78",0;429,0;4291,0;9931
"ee0d28cca895e4a213be07178c2fefba",0;544,0;5441,0;9931
"X3d6595ba0dd3b1779363e84e947fc1c4",0;55,0;5501,0;9931
"a158cb84cd379842d99cf6726247efcd",0;636,0;6361,0;9931
"X3f3d70d8216a76f49f3a361d0d9ab15f",0;732,0;7321,0;9931
"X211d2dbbc4c623c2e960bb29d37d40fa",0;379,0;3791,0;9931
"X8888c9b2d3933081f63651b9bfdbe480",0;051,0;0511,0;9931
"X8c6d27c2bc40b12979bd9d5544237b81",0;752,0;7521,0;9931
"bdf8ede33b2c7001840621a6f72229dd",0;551,0;5511,0;9931
"dfaaa901a526111d492d3d2f61435275",0;937,0;9371,0;9931
"X59788ef0375e4756a83b5a60f29a3303",0;283,0;2831,0;9931
"X319412737efae4ec36f93f4db011de0e",0;972,0;9721,0;9931
"X223bd77c5c34f4e9e40c3dfd53dffafc",0;245,0;2451,0;9931
"e74ee435c566d594cc9526383adf5792",0;118,0;1181,0;9931
"X1c9a25f511df933eb3476dbbbb46a199",0;502,0;5021,0;9931
"X3afe92f292286577802cddba507f140e",0;446,0;4461,0;9931
"db7d937668dd436e5a4c657b8cd5329f",0;363,0;3631,0;9931
"X4a1a4c83702a6c44562e2daa13bf3514",0;195,0;1951,0;9931
"X344a99c4890ae9d218c68b7173d0389c",0;772,0;7721,0;9931
"f7b11f46a4c69e77e82476e16e9df760",0;953,0;9531,0;9931
"b84ffd3d3404ece823346fd8ed2df099",0;377,0;3771,0;9931
"X348be596f79f125aafbe95efa903cbd9",0;566,0;5661,0;9931
"X9e6878f45a5eb2ea642bc92e840afdf7",0;473,0;4731,0;9931
"X6915ce702b5bac12f5018e69a2bca72e",0;384,0;3841,0;9931
"X481b5086d4014f57b2ff1517825ee7d1",0;318,0;3181,0;9931
"ee297847e00487e7f148dc495efc4ebe",0;689,0;6891,0;9931
"X68c4c822540f83dfe06bbc19f708d882",0;923,0;9231,0;9931
"e3eb7f52eef0ad7aec4db88af12eb3cd",0;89,0;8901,0;9931
"X1eff341aa2b49ec383d0a118f73f9cb6",0;79,0;7901,0;9931
"X17211eba768f47a1041935f3ee102e20",0;32,0;3201,0;9931
"c2cf452e2e4b142723e0654f167ee870",0;741,0;7411,0;9931
"d61038bd0af574cc1fb1f9ecef204bbf",0;851,0;8511,0;9931
"a4e3412f19bae543184b7ee353711e30",0;895,0;8951,0;9931
"X3e0f023636975b57382d70fe0a52bf1e",0;684,0;6841,0;9931
"X450fb80a8aa341cdf33eee2dac5fe23b",0;69,0;6901,0;9931
"X3123b5aa3c0f158260f64b2832af8167",0;472,0;4721,0;9931
"X7f6f04cff14b6c730f64324e546e2d6b",0;941,0;9411,0;9931
"X579e5bbf5706c28209744c33484c4b8c",0;918,0;9181,0;9931
"X7ff01134216b54c40a3d44f59c565338",0;589,0;5891,0;9931
"X45c35d69f417bd7d4cbe61dd5a0f083e",0;493,0;4931,0;9931
"X149b57f90ba9fdc1aa38b84570147bd9",0;671,0;6711,0;9931
"X9bfd7d6705ff77f170d74bd7d21e15c7",0;987,0;9871,0;9931
"X4673065a2d04c05374a89d2cfdcf68c2",0;199,0;1991,0;9931
"efd61c8a200b0dfb04999c1cbc4a509f",0;845,0;8451,0;9931
"X5f3b8380fd0ae0e537a43b002c4e7a67",0;638,0;6381,0;9931
"X38bad4cf4a320d649be0d854b3cf98be",0;655,0;6551,0;9931
"X9a8798b380171e379eb66ee08e76ece1",0;338,0;3381,0;9931
"X6a7a5b8592e878c6065ab49055907e1a",0;802,0;8021,0;9931
"X0fa5da88bc26c3d497597b2ecbf33634",0;56,0;5601,0;9931
"X8b268033f40f7b9e9f0a33d71e9c1936",0;837,0;8371,0;9931
"X99bf847cdf4b42889ec796b79dff8c25",0;84,0;8401,0;9931
"X5efce6b21a9c05541f7e777341156e96",0;511,0;5111,0;9931
"X4f39ef900d88365c3eac06f13c776b8f",0;982,0;9821,0;9931
"b5f3ca43eee20152738a029642f31149",0;842,0;8421,0;9931
"a992aa1cc0c433a9e86e33cbc0489c4b",0;512,0;5121,0;9931
"c50d9f53af04313b5497bb9c55275c7c",0;808,0;8081,0;9931
"fe1557e7eea603d3e9a1356de4c894f1",0;356,0;3561,0;9931
"X872b2757f7ef15b1ef26b3f9936bcf31",0;732,0;7321,0;9931
"X7815ca3b2d75f9ff6a3589a9dea5b8c6",0;73,0;7301,0;9931
"X4f59249301b989a2e45240235f71f3d2",0;492,0;4921,0;9931
"X511bd796069111a3a3e99c2d13907211",0;473,0;4731,0;9931
"X3a12705bdb700b87026ea27254e8fa89",0;405,0;4051,0;9931
"X369977194325fa77afd733d37c92c63d",0;723,0;7231,0;9931
"X78e3be9fa222d3a314799a1a883f6b66",0;389,0;3891,0;9931
"X825f13155fdb6aff8a51b2e23783d436",0;607,0;6071,0;9931
"X79211df1215da97e2f8277d6b2222fe2",0;928,0;9281,0;9931
"X3595b98686ee678c017f6a39f2ba8e7e",0;418,0;4181,0;9931
"X8886b2b13e2ddffa6f24c3ba02bde095",0;746,0;7461,0;9931
"X127a70b0f52e8c85609ada55978456d9",0;722,0;7221,0;9931
"b7b6c3fd8f90372ec9ab4e7bd7df8507",0;319,0;3191,0;9931
"X8d3e983e728259a88863f948e5dbe94b",0;257,0;2571,0;9931
"b53ede99325c8616840fa8e938464d7e",0;004,0;0041,0;8692
"X116156fee4dfb6a544121c9b98a23c74",0;293,0;2931,0;9931
"b18075a005d898e4fefada059d7e1684",0;573,0;5731,0;9931
"abb48f98cc76cbfd884b85cb99cf2af1",0;255,0;2551,0;9931
"X66784a97073d9affb5b9dd057c7d5195",0;761,0;7611,0;9931
"d8fc54bcadbf7fcc5cd3d7c2bf678f8f",0;568,0;5681,0;9931
"dc47c740766072a818fc135fbbb85402",0;426,0;4261,0;9931
"X04fee52d3a95545eea1c45e2e63ce362",0;974,0;9741,0;9931
"f342e124ffe9a9d3e0e492ff00ed674e",0;825,0;8251,0;9931
"b77627ad049c7569beb5e5bb351b9a50",0;416,0;4161,0;9931
"X645108570a0870b22f3289c5b82bf22e",0;307,0;3071,0;9931
"X7c4c61a0c83567367786e514df40a21b",0;299,0;2991,0;9931
"fe69850846e2271a5906e8d2d8c09040",0;736,0;7361,0;9931
"X71d1bd285cdf78ebfd3ef9d9c9a40241",0;385,0;3851,0;9931
"X0420d390149c22d99f06f042f8e82022",0;956,0;9561,0;9931
"d3ab276830b02edd6977f850f0ef8caa",0;955,0;9551,0;9931
"d9b3a569d44a34c6a764a5a298219d08",0;901,0;9011,0;9931
"X5507ca21e75b9dee479d164ae91bf887",0;385,0;3851,0;9931
"ba01d82683535dedddbe18c540d309be",0;736,0;7361,0;9931
"X890b0fb43b36350b30ca02829f3e91ad",0;803,0;8031,0;9931
"X543d211dd0ff4f6d0066ec3850ed5082",0;636,0;6361,0;9931
"X461c2b20bd5c233dcac34fc89ce1a66f",0;287,0;2871,0;9931
"X93dc6bb121df4cf4164c024ac00012b4",0;674,0;6741,0;9931
"b88919456fa9bc9afe13c91708403a1b",0;478,0;4781,0;9931
"X317082b6c8a20c520c8e26de3ce89caa",0;632,0;6321,0;9931
"X5ae1f1acc18efc7823c3415d779b0385",0;574,0;5741,0;9931
"d0663dc6e98d4272e5c13d317fed72cc",0;566,0;5661,0;9931
