"","taxon","mean;difference (Infected - Healthy)","se (Infected - Healthy)","W","p;val","q;val","diff;abn"
"6a29be087f3bef324a0738b50789aad4","6a29be087f3bef324a0738b50789aad4"," 0;6595729796","0;27285384"," 2;4173124575","0;01563558895","0;9994715","FALSE"
"0b71fbf2702679d24eb46d1a27f943e3","0b71fbf2702679d24eb46d1a27f943e3"," 0;4514748259","0;33473403"," 1;3487568714","0;17741507175","0;9994715","FALSE"
"a4050e1eb380bf26b4f3457a328e0a42","a4050e1eb380bf26b4f3457a328e0a42","-0;5179962349","0;38051670","-1;3612969784","0;17341985749","0;9994715","FALSE"
"1c91f67c19fc362b767c850bb7b5580f","1c91f67c19fc362b767c850bb7b5580f"," 0;1456961366","0;30171855"," 0;4828875596","0;62917557545","0;9994715","FALSE"
"030174e70c450584bbc3747edc20356c","030174e70c450584bbc3747edc20356c"," 0;0603025146","0;35831581"," 0;1682943159","0;86635174531","0;9994715","FALSE"
"a05117c509e6aaf1ea35b2923fce133f","a05117c509e6aaf1ea35b2923fce133f","-0;0501516037","0;31254723","-0;1604608790","0;87251803631","0;9994715","FALSE"
"ac8234d05394debc4da51b32c6ca34df","ac8234d05394debc4da51b32c6ca34df","-0;2409806296","0;46052028","-0;5232790855","0;60078005310","0;9994715","FALSE"
"d1c82034e8f89e5c1a848af71a5688d6","d1c82034e8f89e5c1a848af71a5688d6"," 0;3196301207","0;55511534"," 0;5757904641","0;56475681978","0;9994715","FALSE"
"d8bb06a7df60d426737787df83322059","d8bb06a7df60d426737787df83322059"," 0;0742590196","0;24089275"," 0;3082658958","0;75788001443","0;9994715","FALSE"
"ad9800c670db0e6e724765a2ec559b75","ad9800c670db0e6e724765a2ec559b75"," 0;5008484581","0;28521299"," 1;7560506783","0;07907975567","0;9994715","FALSE"
"22bf14ba7d96ffe2b5d7caa681eb3b3a","22bf14ba7d96ffe2b5d7caa681eb3b3a","-0;3979109307","0;28016925","-1;4202519658","0;15553433982","0;9994715","FALSE"
"a9e5f2f91b451f1ae94628343a3ca70f","a9e5f2f91b451f1ae94628343a3ca70f","-0;1758057093","0;32179823","-0;5463227972","0;58484406829","0;9994715","FALSE"
"9c7cd4b8af8d381bbd57eabf3fb6d80c","9c7cd4b8af8d381bbd57eabf3fb6d80c","-0;1610408203","0;28988040","-0;5555422778","0;57852380069","0;9994715","FALSE"
"4a2739b3acd1eb053ab8838528cd30cf","4a2739b3acd1eb053ab8838528cd30cf"," 0;0488497525","0;42771474"," 0;1142110572","0;90907048693","0;9994715","FALSE"
"180b2c6eb80fcb7741e16b0221a32066","180b2c6eb80fcb7741e16b0221a32066"," 0;1164352042","0;26576470"," 0;4381138770","0;66130373537","0;9994715","FALSE"
"37883c9eaead558bdd7be3006224b111","37883c9eaead558bdd7be3006224b111"," 0;0229252388","0;26308746"," 0;0871392318","0;93056084149","0;9994715","FALSE"
"3cd569c2845d64d49e718bf0f51f40cf","3cd569c2845d64d49e718bf0f51f40cf"," 0;7529492693","0;24900705"," 3;0238070753","0;00249615562","0;7317896","FALSE"
"80837c53563c6967cc81306e11df9838","80837c53563c6967cc81306e11df9838"," 0;2102430761","0;28606948"," 0;7349371129","0;46237779455","0;9994715","FALSE"
"eecae9d67648963cda48064adc0cffae","eecae9d67648963cda48064adc0cffae","-0;0971394923","0;25484647","-0;3811686845","0;70307808438","0;9994715","FALSE"
"479eaec6570aa41ac1a9803b338eafec","479eaec6570aa41ac1a9803b338eafec"," 0;2420917368","0;22596455"," 1;0713704414","0;28400289806","0;9994715","FALSE"
"14ffdd2a3162d5cdc6788770a53b95b7","14ffdd2a3162d5cdc6788770a53b95b7","-0;0203055387","0;25092267","-0;0809234935","0;93550279611","0;9994715","FALSE"
"2c086881266f4b9314ffda3b7fc89acc","2c086881266f4b9314ffda3b7fc89acc","-0;1380793122","0;28742062","-0;4804085084","0;63093694549","0;9994715","FALSE"
"e5b6c9506f2be294e352cc69e34409d7","e5b6c9506f2be294e352cc69e34409d7","-0;1780806344","0;16992061","-1;0480225896","0;29462819930","0;9994715","FALSE"
"efb38024b5809c80f6a448338c25b324","efb38024b5809c80f6a448338c25b324","-0;2710018014","0;46859675","-0;5783262530","0;56304387316","0;9994715","FALSE"
"eadd3b510ccc0c5a6443d08687a0bf7e","eadd3b510ccc0c5a6443d08687a0bf7e","-0;1314099035","0;36997588","-0;3551850538","0;72245096103","0;9994715","FALSE"
"abe74228e1f3f83e6d1e8adebeeb48ac","abe74228e1f3f83e6d1e8adebeeb48ac"," 0;3514027551","0;26502391"," 1;3259285039","0;18486338047","0;9994715","FALSE"
"50761adbbe9ebf60a1b6d0bf64de893b","50761adbbe9ebf60a1b6d0bf64de893b"," 0;1204508415","0;17286112"," 0;6968070098","0;48592357868","0;9994715","FALSE"
"77f94cfb07fddf148eccc2db4457223d","77f94cfb07fddf148eccc2db4457223d","-0;0698097343","0;13934685","-0;5009782094","0;61638645878","0;9994715","FALSE"
