ID	contribution	stdev	pval	padj	method
fd7880a6988b84aaaf0c433708c2efa6	0.012	0.048	0.021	0.940	Simper
b53ede99325c8616840fa8e938464d7e	0.001	0.002	0.044	0.940	Simper
dc47c740766072a818fc135fbbb85402	0.001	0.003	0.053	0.940	Simper
d0663dc6e98d4272e5c13d317fed72cc	0.043	0.121	0.054	0.940	Simper
d6992915e0c28999e8d466f1592d8b7a	0.013	0.064	0.067	0.940	Simper
37e6c524ce699f13fe323a63bc20adf9	0.001	0.005	0.099	0.940	Simper
2c18fa52b1be278e8fbf731b531e3174	0.000	0.000	0.101	0.940	Simper
319412737efae4ec36f93f4db011de0e	0.000	0.000	0.104	0.940	Simper
4be810915c915c3f6f34bb4fedab9ad0	0.144	0.141	0.109	0.940	Simper
da513503b2ff56009fc8a578c819ebcb	0.014	0.073	0.111	0.940	Simper
bd26e97e57ceb47cf6ab7d5b5e947f62	0.000	0.000	0.118	0.940	Simper
76dc3809d214159c017b2f987364f7e0	0.000	0.000	0.137	0.940	Simper
c50d9f53af04313b5497bb9c55275c7c	0.000	0.002	0.177	0.940	Simper
17211eba768f47a1041935f3ee102e20	0.000	0.000	0.177	0.940	Simper
e0db0916d5f4bc79913c096d6f7f23e0	0.000	0.000	0.215	0.940	Simper
fe1557e7eea603d3e9a1356de4c894f1	0.000	0.000	0.226	0.940	Simper
7ef0412f12032fcc6224d8d98783f44f	0.001	0.003	0.227	0.940	Simper
3f3d70d8216a76f49f3a361d0d9ab15f	0.000	0.000	0.227	0.940	Simper
4bdc300e2a73d2456d8f5f301cd79b24	0.000	0.000	0.228	0.940	Simper
4f39ef900d88365c3eac06f13c776b8f	0.000	0.000	0.232	0.940	Simper
c8d5fdc244ae17e9558f5025b812d6eb	0.012	0.051	0.235	0.940	Simper
0c0cca5bec99fb78e2bb61c3935b025d	0.001	0.002	0.240	0.940	Simper
92c359d5fc0b3cd4cf326768b8132a41	0.005	0.027	0.242	0.940	Simper
ba01d82683535dedddbe18c540d309be	0.000	0.000	0.242	0.940	Simper
f5f092fdfbb1dcc0827bf409ad96e634	0.004	0.020	0.245	0.940	Simper
7f6f04cff14b6c730f64324e546e2d6b	0.000	0.000	0.248	0.940	Simper
5bf5a35fbf5c2c129b31a4aaa02679bd	0.019	0.085	0.249	0.940	Simper
1b0539acdc7399feee3aaebdd5e61067	0.007	0.021	0.255	0.940	Simper
d3ab276830b02edd6977f850f0ef8caa	0.002	0.006	0.256	0.940	Simper
2bf8231073721bfc54aa8ebeb6912a20	0.002	0.011	0.265	0.940	Simper
e74ee435c566d594cc9526383adf5792	0.001	0.003	0.287	0.940	Simper
7c4c61a0c83567367786e514df40a21b	0.000	0.000	0.287	0.940	Simper
ca8c1cc094272e70ff21f563a2af81c3	0.000	0.001	0.311	0.940	Simper
a418705a2b62c68553ceec65922142a4	0.000	0.000	0.316	0.940	Simper
8c6d27c2bc40b12979bd9d5544237b81	0.019	0.087	0.318	0.940	Simper
22aea799615e8e1467f7b56605053545	0.000	0.000	0.319	0.940	Simper
4673065a2d04c05374a89d2cfdcf68c2	0.000	0.001	0.329	0.940	Simper
f7b11f46a4c69e77e82476e16e9df760	0.051	0.103	0.333	0.940	Simper
96e8d503a1148ba899683ec5ab9b05d9	0.000	0.001	0.340	0.940	Simper
760b5cda1cd383fa43af2dd6f6b06672	0.000	0.000	0.346	0.940	Simper
04fee52d3a95545eea1c45e2e63ce362	0.000	0.001	0.348	0.940	Simper
9e58e4736ae679b38ae8de9b3fc3d7ee	0.000	0.000	0.353	0.940	Simper
317082b6c8a20c520c8e26de3ce89caa	0.004	0.017	0.354	0.940	Simper
d9b3a569d44a34c6a764a5a298219d08	0.001	0.003	0.361	0.940	Simper
79211df1215da97e2f8277d6b2222fe2	0.007	0.036	0.366	0.940	Simper
97e3be015d0ad3c9c56ccbd57f9c0feb	0.000	0.000	0.381	0.940	Simper
9bfd7d6705ff77f170d74bd7d21e15c7	0.000	0.000	0.381	0.940	Simper
b5f3ca43eee20152738a029642f31149	0.002	0.008	0.389	0.940	Simper
de3ca8116321fa3b3ecaa5fc40c08cc5	0.003	0.010	0.401	0.940	Simper
8512a0ed11476e591ffa9a713b8d9df3	0.007	0.024	0.406	0.940	Simper
e3eb7f52eef0ad7aec4db88af12eb3cd	0.037	0.100	0.410	0.940	Simper
325f464ad49685c1e5420d17aa147d15	0.003	0.008	0.414	0.940	Simper
8d3e983e728259a88863f948e5dbe94b	0.002	0.005	0.421	0.940	Simper
99d56121b201885e2327e1aaefee27e0	0.008	0.039	0.428	0.940	Simper
1eff341aa2b49ec383d0a118f73f9cb6	0.003	0.013	0.432	0.940	Simper
2e3c54c72de596f4c4009971b90895d7	0.000	0.000	0.432	0.940	Simper
abb48f98cc76cbfd884b85cb99cf2af1	0.000	0.000	0.454	0.940	Simper
e71fb4db708f786a39f0bf2bd9b6e50b	0.000	0.001	0.459	0.940	Simper
450fb80a8aa341cdf33eee2dac5fe23b	0.000	0.000	0.459	0.940	Simper
93dc6bb121df4cf4164c024ac00012b4	0.000	0.000	0.459	0.940	Simper
ea4f3d7471d698fb962e28a5f213caf2	0.001	0.006	0.466	0.940	Simper
348be596f79f125aafbe95efa903cbd9	0.001	0.004	0.466	0.940	Simper
8b268033f40f7b9e9f0a33d71e9c1936	0.000	0.000	0.473	0.940	Simper
db927f3e3abb74321d0262b8624b01c7	0.000	0.000	0.473	0.940	Simper
a4bbfb428c8d35739d668a60656037fc	0.000	0.000	0.475	0.940	Simper
b4b232f214f775bcc3308653d7741f1a	0.002	0.008	0.477	0.940	Simper
1a3bb25b7d08acf0c021cca6623e477e	0.008	0.041	0.478	0.940	Simper
2130ca17584e2024351e25847b07de48	0.000	0.000	0.478	0.940	Simper
6a7a5b8592e878c6065ab49055907e1a	0.000	0.000	0.478	0.940	Simper
e87dc9cc994d0c5c48a42ee91aae6eae	0.001	0.003	0.479	0.940	Simper
526fa77d5328b0a41df33317dfe135e2	0.010	0.048	0.480	0.940	Simper
0420d390149c22d99f06f042f8e82022	0.001	0.004	0.480	0.940	Simper
149b57f90ba9fdc1aa38b84570147bd9	0.006	0.026	0.481	0.940	Simper
299a98fef4b37a7f125b41049760c6d7	0.005	0.023	0.481	0.940	Simper
5ae8bbf464d292ab3b75086ef4ff2fb1	0.003	0.012	0.481	0.940	Simper
59788ef0375e4756a83b5a60f29a3303	0.000	0.000	0.481	0.940	Simper
7f088cac1fcdba8c0195c47096264049	0.000	0.000	0.481	0.940	Simper
344a99c4890ae9d218c68b7173d0389c	0.001	0.005	0.483	0.940	Simper
543d211dd0ff4f6d0066ec3850ed5082	0.000	0.001	0.483	0.940	Simper
66784a97073d9affb5b9dd057c7d5195	0.000	0.000	0.483	0.940	Simper
da230b788ed11070ab619cf95eec6577	0.000	0.000	0.483	0.940	Simper
9b05f9d3b68356c051503c00d6b3d333	0.002	0.008	0.484	0.940	Simper
0ef57e8afd9085d240cb5ca96d3578ad	0.016	0.058	0.486	0.940	Simper
e4a8d89e330d04f29688c61cc275c501	0.015	0.068	0.486	0.940	Simper
7815ca3b2d75f9ff6a3589a9dea5b8c6	0.000	0.002	0.486	0.940	Simper
2b59d468bbdb1f86c22fcebd61f5d5cb	0.000	0.000	0.486	0.940	Simper
1cc1bac06496093e1f4903bb981b67a4	0.000	0.000	0.486	0.940	Simper
68c4c822540f83dfe06bbc19f708d882	0.000	0.000	0.487	0.940	Simper
bc1d8d569b4547c1c5c74417dca42c12	0.002	0.009	0.491	0.940	Simper
481b5086d4014f57b2ff1517825ee7d1	0.000	0.000	0.492	0.940	Simper
2ffde79d725e60b058bde836132af683	0.018	0.084	0.494	0.940	Simper
b6d488bfbf30ff5ee3e75bbefccb6032	0.001	0.006	0.494	0.940	Simper
a4977746f215ec32e61883e81da46126	0.012	0.048	0.495	0.940	Simper
af7a6845c73f4a26d0abf34aef9a2a64	0.000	0.001	0.495	0.940	Simper
3d0a205de99f5295bc4b374649c57575	0.000	0.000	0.495	0.940	Simper
5efce6b21a9c05541f7e777341156e96	0.018	0.090	0.496	0.940	Simper
53c621cb35a1c35186d82a7c60de1bf0	0.001	0.003	0.496	0.940	Simper
a158cb84cd379842d99cf6726247efcd	0.000	0.000	0.496	0.940	Simper
461c2b20bd5c233dcac34fc89ce1a66f	0.026	0.094	0.501	0.940	Simper
7ff01134216b54c40a3d44f59c565338	0.005	0.023	0.501	0.940	Simper
175a157b503cdbac0149f491726d55a0	0.002	0.010	0.501	0.940	Simper
faef5307d71a48c6d6d40336c90c8d60	0.000	0.000	0.503	0.940	Simper
9c7970c0800382fbe01230164e6149fb	0.004	0.018	0.504	0.940	Simper
b47360a961b32fd49a797faf00c4d3de	0.000	0.000	0.504	0.940	Simper
ee121b5310faf3d1c9e119e3ac6048ba	0.011	0.058	0.507	0.940	Simper
539265e101086f2e7d8aa51c05152c1b	0.006	0.033	0.507	0.940	Simper
3e0f023636975b57382d70fe0a52bf1e	0.001	0.004	0.510	0.940	Simper
ea16290abb78a15048ba32ff78200ec5	0.000	0.000	0.513	0.940	Simper
99bf847cdf4b42889ec796b79dff8c25	0.001	0.004	0.515	0.940	Simper
0c5de29041b1bcfe2010ba9bde32f320	0.000	0.002	0.515	0.940	Simper
9c1d747424d14efaa95f8e742a4cdf37	0.000	0.000	0.515	0.940	Simper
127a70b0f52e8c85609ada55978456d9	0.000	0.000	0.515	0.940	Simper
efd61c8a200b0dfb04999c1cbc4a509f	0.000	0.000	0.515	0.940	Simper
2ea15125b3c28f70f4e9b2011fb1b32e	0.000	0.000	0.517	0.940	Simper
5e317160f53054af730b0a3123e7e9b6	0.004	0.019	0.519	0.940	Simper
f342e124ffe9a9d3e0e492ff00ed674e	0.000	0.000	0.519	0.940	Simper
890b0fb43b36350b30ca02829f3e91ad	0.000	0.000	0.519	0.940	Simper
135cd9f50ac1631b9e504edeb830d683	0.000	0.000	0.544	0.977	Simper
b0155a887805143545218ffe760eda06	0.001	0.004	0.561	0.999	Simper
e5c7942ab79294bf4c19761c8bbbf920	0.000	0.001	0.566	1.000	Simper
3123b5aa3c0f158260f64b2832af8167	0.000	0.001	0.586	1	Simper
