ID	pval	padj	R2	method
b53ede99325c8616840fa8e938464d7e	0.004	0.869	0.362	Spearman
4be810915c915c3f6f34bb4fedab9ad0	0.016	0.993	0.300	Spearman
8888c9b2d3933081f63651b9bfdbe480	0.051	0.993	0.257	Spearman
2ffde79d725e60b058bde836132af683	0.051	0.993	0.268	Spearman
e74ee435c566d594cc9526383adf5792	0.118	0.993	0.206	Spearman
a294a6334e4208490c478e9073d7270c	0.151	0.993	0.192	Spearman
760b5cda1cd383fa43af2dd6f6b06672	0.194	0.993	0.176	Spearman
4a1a4c83702a6c44562e2daa13bf3514	0.195	0.993	0.186	Spearman
4673065a2d04c05374a89d2cfdcf68c2	0.199	0.993	0.176	Spearman
223bd77c5c34f4e9e40c3dfd53dffafc	0.245	0.993	0.154	Spearman
abb48f98cc76cbfd884b85cb99cf2af1	0.255	0.993	0.158	Spearman
8d3e983e728259a88863f948e5dbe94b	0.257	0.993	0.156	Spearman
59788ef0375e4756a83b5a60f29a3303	0.283	0.993	0.149	Spearman
461c2b20bd5c233dcac34fc89ce1a66f	0.287	0.993	0.147	Spearman
116156fee4dfb6a544121c9b98a23c74	0.293	0.993	0.149	Spearman
034aaec3b477baaaad7676a87004e735	0.294	0.993	0.147	Spearman
7c4c61a0c83567367786e514df40a21b	0.299	0.993	0.140	Spearman
645108570a0870b22f3289c5b82bf22e	0.307	0.993	0.142	Spearman
135cd9f50ac1631b9e504edeb830d683	0.315	0.993	0.137	Spearman
481b5086d4014f57b2ff1517825ee7d1	0.318	0.993	0.133	Spearman
b7b6c3fd8f90372ec9ab4e7bd7df8507	0.319	0.993	0.140	Spearman
17211eba768f47a1041935f3ee102e20	0.320	0.993	0.135	Spearman
e4a8d89e330d04f29688c61cc275c501	0.328	0.993	0.137	Spearman
9a8798b380171e379eb66ee08e76ece1	0.338	0.993	0.124	Spearman
de3ca8116321fa3b3ecaa5fc40c08cc5	0.342	0.993	0.133	Spearman
1760e66b93ff7aa728b6898fa572bc2d	0.351	0.993	0.128	Spearman
